СВАО,Алексеевская,6.2,10,46.9,1,21000000.0
ЮАО,Тульская,4.5,11,30.4,1,12550000.0
ЗАО,Выставочная,4.9,9,65.0,1,28000000.0
Новая Москва,Саларьево,22.1,30,35.8,1,10297763.0
САО,Дмитровская,6.7,10,55.2,1,21434238.0
Новая Москва,Саларьево,17.1,30,22.6,1,8508447.0
ЦАО,Чистые пруды,2,10,78.4,1,36000000.0
ЦАО,Шелепиха,6.2,7,42.0,1,38000000.0
ЗАО,Молодёжная,13.8,15,44.3,1,14900000.0
ЗАО,Мичуринский проспект,11.3,13,129.6,1,55740960.0
ЗАО,Лужники,11.1,28,69.2,1,39274736.0
САО,ЦСКА,7.4,14,33.0,1,14900000.0
САО,Аэропорт,8.2,7,46.7,1,15800000.0
САО,Речной вокзал,13.7,24,38.9,1,11450000.0
ЮВАО,Площадь Ильича,4.2,14,68.2,1,30676360.0
СЗАО,Шелепиха,6.6,12,78.7,1,36781269.0
СВАО,Фонвизинская,8.0,7,82.0,1,25999999.0
Новая Москва,Новомосковская (2024),16.9,33,55.9,1,12198064.0
СЗАО,Терехово,10.5,17,75.8,1,36611400.0
СЗАО,Терехово,10.6,17,46.0,1,23165600.0
ЮВАО,Печатники,9.4,10,52.3,1,15500000.0
Новая Москва,Саларьево,17.0,30,32.5,1,10344512.0
САО,Беломорская,16.6,18,30.7,1,9400000.0
ЮВАО,Авиамоторная,4.8,15,38.7,1,13572090.0
Новая Москва,Солнцево,29.3,53,31.8,3,8137143.0
ВАО,Соколиная Гора,7.7,11,25.8,1,10590000.0
СЗАО,Терехово,10.4,17,64.1,1,32825610.0
САО,Тимирязевская,8.7,14,38.3,1,14500000.0
ЗАО,Солнцево,18.9,6,86.0,3,27800000.0
ЮАО,Нагатинская,7.9,6,45.0,3,17430728.0
ЮВАО,Площадь Ильича,4.2,14,41.4,3,17371440.0
САО,Красный Балтиец,8.4,14,45.0,3,12450000.0
ВАО,Новогиреево,13.3,18,39.7,3,9900000.0
СЗАО,Терехово,10.6,17,46.6,3,23710080.0
Новая Москва,Пыхтино (2023),29.2,69,52.4,3,11034393.0
Новая Москва,Говорово,16.4,9,75.0,3,19999000.0
ЮАО,Пражская,16.2,22,45.1,3,10700000.0
СВАО,Медведково,14.8,25,37.3,3,10200000.0
СЗАО,Трикотажная,16.6,12,74.7,3,15500000.0
СВАО,Бутырская,7.5,14,40.7,3,20630000.0
Новая Москва,Саларьево,22.9,32,58.7,3,10387867.0
СЗАО,Пятницкое шоссе,20.4,4,53.0,3,17000000.0
Новая Москва,Силикатная,29.1,35,40.4,3,9315087.0
ЮВАО,Площадь Ильича,4.2,13,41.6,1,17092358.0
ЗАО,Проспект Вернадского,12.0,15,45.0,1,13000000.0
САО,Динамо,5.3,7,39.0,1,23500000.0
САО,Дмитровская,6.7,10,91.9,1,29588570.0
ЮЗАО,Бунинская аллея,23.9,16,40.9,1,10557641.0
СЗАО,Терехово,10.4,17,66.6,3,34472160.0
ЦАО,Марксистская,2,10,52.1,1,30000000.0
ЮВАО,Волжская,11.3,12,57.0,1,12200000.0
СЗАО,Трикотажная,16.2,19,54.8,1,16756634.0
ЮВАО,Курьяново,13.0,18,52.6,1,11950000.0
Новая Москва,Силикатная,22.3,28,36.6,1,11519041.0
СЗАО,Народное Ополчение,7.9,28,78.0,1,33000000.0
ЦАО,Рижская,4.1,6,108.0,3,35100000.0
ЮЗАО,Бунинская аллея,23.7,16,58.8,1,14247672.0
САО,Селигерская,13.7,9,38.0,1,12800000.0
ЮВАО,Некрасовка,19.4,13,41.0,1,8500000.0
САО,Аэропорт,7.0,10,89.4,1,29000000.0
ЗАО,Раменки,10.0,7,62.6,1,35174752.0
ЮЗАО,Университет,8.2,10,77.2,1,25850000.0
СВАО,Фонвизинская,9.2,21,46.2,1,19630750.0
СВАО,Бутырская,7.5,14,35.4,1,21260000.0
ЗАО,Ломоносовский проспект,11.2,6,54.7,3,19529705.0
СВАО,Бибирево,16.3,23,4.8,3,5211413.0
Новая Москва,Саларьево,29.3,67,28.8,3,6300000.0
САО,Водный стадион,12.1,13,36.2,3,16000000.0
СЗАО,Трикотажная,16.3,19,43.3,3,13786773.0
ЮВАО,Курьяново,12.5,14,44.3,3,11000000.0
САО,Динамо,6.2,9,44.5,3,26969696.0
САО,Зорге,7.8,15,54.6,3,28473700.0
СЗАО,Трикотажная,16.2,19,54.6,3,17077678.0
ЦАО,Курская,2,4,43.0,3,16990000.0
СЗАО,Трикотажная,16.2,19,35.53,3,11336447.0
САО,Динамо,5.1,9,73.1,3,37000000.0
ЮАО,Москворечье,13.2,4,73.8,3,20500000.0
ЗАО,Аминьевская,12.0,13,73.5,3,27332298.0
Новая Москва,Саларьево,16.9,30,37.6,3,11876997.0
САО,Водный стадион,12.0,15,36.0,3,16000000.0
Новая Москва,Пыхтино (2023),29.1,69,40.3,3,8922807.0
ЗАО,Киевская,3.8,7,52.0,3,28500000.0
ЮВАО,Угрешская,5.6,12,55.8,3,16698763.0
ЦАО,Тверская,2,7,70.0,3,36512255.0
Новая Москва,Рассказовка,22.5,9,89.0,3,22400000.0
САО,Дмитровская,6.7,10,60.7,3,23164072.0
ЗАО,Лужники,5.6,28,61.4,3,38190520.0
ЮЗАО,Бунинская аллея,23.7,16,46.8,3,10949207.0
ЦАО,Смоленская,2,9,107.0,3,39320890.0
ЮВАО,Текстильщики,8.3,19,38.0,3,11980000.0
СЗАО,Народное Ополчение,10.3,13,45.0,3,13300000.0
СЗАО,Шелепиха,6.6,12,78.3,3,34914191.0
САО,Лихоборы,11.2,6,68.0,3,19500000.0
Новая Москва,Щербинка,29.3,42,55.1,3,10438911.0
ЮВАО,Люблино,10.1,9,59.7,3,16000000.0
Новая Москва,Саларьево,21.2,30,63.8,3,16692504.0
Новая Москва,Румянцево,17.0,17,5.16,3,8095952.0
ЮАО,Улица Академика Янгеля,17.4,6,51.0,3,12500000.0
САО,Дмитровская,6.7,10,86.1,3,35817196.0
ЮАО,ЗИЛ,7.4,20,75.4,3,28677026.0
ЗАО,Фили,7.2,7,47.0,3,22999999.0
ЮЗАО,Крымская,8.2,16,34.9,3,14600000.0
ЗАО,Аминьевская,11.4,15,53.9,3,24143628.0
ЮАО,Борисово,15.7,14,34.2,3,11500000.0
СВАО,Алтуфьево,17.1,20,54.0,3,14500000.0
СЗАО,Терехово,11.0,17,81.5,3,36666850.0
ЗАО,Ломоносовский проспект,11.2,6,54.8,3,23116284.0
ЮВАО,Авиамоторная,4.8,15,39.1,3,14736790.0
СВАО,Марьина Роща,4.6,6,38.4,3,15500000.0
СВАО,Марьина Роща,4.6,7,115.5,3,47000000.0
Новая Москва,Рассказовка,21.2,19,84.7,3,16372754.0
СЗАО,Сходненская,16.4,17,39.9,3,9500000.0
Новая Москва,Саларьево,21.5,30,34.5,3,11641473.0
СВАО,Фонвизинская,8.0,2,81.4,3,25800000.0
ЮВАО,Некрасовка,20.3,10,26.9,3,9917179.0
ЮАО,Улица Академика Янгеля,17.9,8,75.0,3,23200000.0
САО,Дмитровская,5.9,9,88.3,3,28000000.0
САО,Динамо,5.2,10,63.6,5,36000000.0
ЗАО,Мичуринский проспект,11.2,10,88.3,3,45112470.0
СВАО,Алексеевская,6.4,8,68.0,3,27700000.0
ЮВАО,Некрасовка,7.0,18,68.1,3,16185736.0
САО,Дмитровская,6.7,10,40.0,5,19162643.0
ЮАО,Автозаводская,6.0,4,80.0,5,17600000.0
Новая Москва,Рассказовка,23.6,23,58.7,5,11021512.0
САО,Зорге,7.9,15,77.1,5,31841300.0
СВАО,Фонвизинская,7.9,7,58.0,5,22500000.0
ЮЗАО,Чертановская,12.0,10,43.4,5,16300000.0
ЗАО,Раменки,10.5,10,54.0,5,16199999.0
Новая Москва,Щербинка,29.2,39,41.4,5,9262775.0
ЮАО,Чертановская,13.2,8,61.4,5,15800000.0
ЗАО,Пионерская,10.0,2,38.2,5,16500000.0
ЗАО,Фили,7.0,4,65.0,5,36999969.0
ЮЗАО,Калужская,11.5,10,43.2,5,19094400.0
Новая Москва,Саларьево,22.3,30,80.5,5,19247299.0
ЮАО,Варшавская (2022),11.2,17,42.2,5,15500000.0
Новая Москва,Тёплый Стан,21.1,38,29.0,5,9675469.0
